StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q_DuplicateRespondent,Q1_Role,Q1_Role_11_TEXT,Q2_DecisionAuth,Q3_Industry,Q3_Industry_26_TEXT,Q4_OrgSize,Q5_ProfitModel,Q6_RevenueBudget,Q7_PersonalBudget,Q8_GeoScope,Q9_GeoScale,Q10-28_Barriers_1,Q10-28_Barriers_2,Q10-28_Barriers_3,Q10-28_Barriers_4,Q10-28_Barriers_5,Q10-28_Barriers_6,Q10-28_Barriers_7,Q10-28_Barriers_8,Q10-28_Barriers_9,Q10-28_Barriers_10,Q10-28_Barriers_11,Q10-28_Barriers_12,Q10-28_Barriers_13,Q10-28_Barriers_14,Q10-28_Barriers_15,Q10-28_Barriers_16,Q10-28_Barriers_17,Q10-28_Barriers_18,Q10-28_Barriers_19,Q29-46_Top3Barriers_1,Q29-46_Top3Barriers_2,Q29-46_Top3Barriers_3,Q29-46_Top3Barriers_4,Q29-46_Top3Barriers_5,Q29-46_Top3Barriers_6,Q29-46_Top3Barriers_7,Q29-46_Top3Barriers_8,Q29-46_Top3Barriers_9,Q29-46_Top3Barriers_10,Q29-46_Top3Barriers_11,Q29-46_Top3Barriers_12,Q29-46_Top3Barriers_13,Q29-46_Top3Barriers_14,Q29-46_Top3Barriers_15,Q29-46_Top3Barriers_16,Q29-46_Top3Barriers_17,Q29-46_Top3Barriers_18,Q47-64_Readiness_1,Q47-64_Readiness_2,Q47-64_Readiness_3,Q47-64_Readiness_4,Q47-64_Readiness_5,Q47-64_Readiness_6,Q47-64_Readiness_7,Q47-64_Readiness_8,Q47-64_Readiness_9,Q47-64_Readiness_10,Q47-64_Readiness_11,Q47-64_Readiness_12,Q47-64_Readiness_13,Q47-64_Readiness_14,Q47-64_Readiness_15,Q47-64_Readiness_16,Q47-64_Readiness_17,Q47-64_Readiness_18,Q65-73_Maturity_1,Q65-73_Maturity_2,Q65-73_Maturity_3,Q65-73_Maturity_4,Q65-73_Maturity_5,Q65-73_Maturity_6,Q65-73_Maturity_7,Q65-73_Maturity_8,Q65-73_Maturity_9,Q74_Feedback,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,STUDY_ID,SESSION_ID,SOURCE,COMPLETE_URL,Q50_Feedback - Parent Topics,Q50_Feedback - Topics,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions,Q50_Feedback - Topic Hierarchy Level 1
2026-03-24,2026-03-24,IP Address,100,1094,True,2026-03-24,6850d303955f2f40da2213cdc60c297e,anonymous,,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",,I am one of several key decision-makers who collectively decide on technology adoption,Information,,1000-4999,For-Profit,$100M-$499M,$10M-$49M,United States,National,Minor Barrier,Minor Barrier,Not a Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Not a Barrier,Not a Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Major Barrier,Not a Barrier,Minor Barrier,Minor Barrier,Not a Barrier,Major Barrier,,,,,Inadequate training programs for new technologies.,,,"Inadequate IT infrastructure (e.g., network, storage, computing power) to support new technologies.",,,,,Concerns about cybersecurity risks associated with new technologies.,,,,,,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Don't Know,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,None.,complete,,,69c17630acada6abeead2da5,69c1e14b877b2db41511564f,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,424,True,2026-03-23,c9124ed7561f3d2dd493b1eaef914a2b,anonymous,,"CIO (e.g., Director of IT)",,I am the primary decision-maker for technology adoption in my area of responsibility,Manufacturing,,100-499,For-Profit,$100M-$499M,$100M-$499M,United States,Regional,Minor Barrier,Not a Barrier,Minor Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Major Barrier,Major Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Major Barrier,Major Barrier,,,,,,,,,,,,New technologies disrupting existing workflows or processes significantly.,Concerns about cybersecurity risks associated with new technologies.,Concerns about data privacy compliance related to new technologies.,,,,,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,None,complete,,,69c17630acada6abeead2da5,69c180b34ec725a81caf1d75,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,475,True,2026-03-23,1e9a8999111859d78c1f7c784911cadf,anonymous,,Other (please specify),Sales Director,I have limited involvement — I primarily implement technology decisions made by leadership,Retail Trade,,5000-9999,For-Profit,$1B+,<$10M,United States,National,Minor Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Moderate Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Major Barrier,Resistance to change among employees or middle management.,,,,,High cost associated with acquiring or implementing new technologies.,Difficulty integrating new technologies with existing legacy systems.,,,,,,,,,,,,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Don't Know,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,"No, study was thorough in its questioning concerning adoption readiness.  ",complete,,,69c17630acada6abeead2da5,69c1819ddfcbd47610700126,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,592,True,2026-03-23,4a51abb91b3423a1a54a0bbc195f2228,anonymous,,"CMO (e.g., Director of Communications, Public Affairs Officer, Chief Marketing & Communications Officer)",,I am one of several key decision-makers who collectively decide on technology adoption,State Government,,1000-4999,Non-Profit,$50M-$99M,<$10M,United States,Local,Moderate Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Not a Barrier,Major Barrier,Not a Barrier,Not a Barrier,Major Barrier,,"Lack of support or clear vision from top leadership (including the board, e.g., governing body, oversight committee).",,,,,,"Inadequate IT infrastructure (e.g., network, storage, computing power) to support new technologies.",,Lack of a clear strategy or roadmap for technology adoption.,,,,,,,,,Very Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,no. this is comprehensive.,complete,,,69c17630acada6abeead2da5,69c1813286a891dac146fba2,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,645,True,2026-03-23,467723bd22865bff4b63e0ba7e42be4e,anonymous,,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",,I am the primary decision-maker for technology adoption in my area of responsibility,Construction,,100-499,For-Profit,$10M-$49M,$10M-$49M,United States,Regional,Major Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Resistance to change among employees or middle management.,,,,,High cost associated with acquiring or implementing new technologies.,Difficulty integrating new technologies with existing legacy systems.,,,,,,,,,,,,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,"I think one of the most significant barriers not fully captures if the generational tech gap within the skilled trades. In a midsized construction firm, our most experienced field leaders- who I desperately need for quality and safety- are the most resistant to digital tools. The physical environment of a construction site (think extreme weather, dust, and the need for high durability tools and hardware) remains a very practical hurdle for many technologies that are designed for controlled office environments. Adoption isn't just a matter of will in construction, it becomes a matter of whether the tech can survive a February morning on a freezing, wet jobsite in Ohio. ",complete,,,69c17630acada6abeead2da5,69c18164d6ea992cf75e8ca0,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,903,True,2026-03-23,5cea5e07aa79ff51127fd582b922277c,anonymous,,"CIO (e.g., Director of IT)",,I am the primary decision-maker for technology adoption in my area of responsibility,Finance and Insurance,,1000-4999,For-Profit,$500M-$999M,<$10M,United States,National,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Not a Barrier,Significant Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Major Barrier,,,,,,,,,,,,New technologies disrupting existing workflows or processes significantly.,,,Lack of trust in the reliability or performance of new technologies or vendors.,Uncertainty or complexity related to regulatory requirements.,,,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,,complete,,,69c17630acada6abeead2da5,69c18075b9488957c0495795,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,,0,,0,,0.07142857142857142,QID225,
2026-03-23,2026-03-23,IP Address,100,721,True,2026-03-23,4babc464acfa0ada0716af5ba9f74333,anonymous,,"CHRO (e.g., Chief Human Capital Officer (CHCO), Director of Human Resources, Personnel Director)",,I have limited involvement — I primarily implement technology decisions made by leadership,Transportation and Warehousing,,500-999,For-Profit,$50M-$99M,$10M-$49M,United States,National,Significant Barrier,Major Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Major Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Major Barrier,Minor Barrier,Major Barrier,Minor Barrier,Not a Barrier,Minor Barrier,Not a Barrier,Not a Barrier,Minor Barrier,Major Barrier,,,,,Inadequate training programs for new technologies.,High cost associated with acquiring or implementing new technologies.,Difficulty integrating new technologies with existing legacy systems.,,,,,,,,,,,,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,No,complete,,,69c17630acada6abeead2da5,69c181ded5ba30a8ceb7f9fa,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,507,True,2026-03-23,79247af518eb7f9e7b06ce38f41add57,anonymous,,"CIO (e.g., Director of IT)",,I am one of several key decision-makers who collectively decide on technology adoption,Public Healthcare,,500-999,Non-Profit,$10M-$49M,<$10M,United States,Local,Moderate Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Not a Barrier,Not a Barrier,Major Barrier,,,,,,,,,,,Insufficient governance processes for selecting and managing new technologies.,,Concerns about cybersecurity risks associated with new technologies.,Concerns about data privacy compliance related to new technologies.,,,,,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,,complete,,,69c17630acada6abeead2da5,69c182e2e75a9e4f91af4f90,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,,0,,0,,0.07142857142857142,QID225,
2026-03-23,2026-03-23,IP Address,100,1022,True,2026-03-23,c605856edc50557c76b35867fa01c89b,anonymous,,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",,I am one of several key decision-makers who collectively decide on technology adoption,Finance and Insurance,,1000-4999,For-Profit,$100M-$499M,$10M-$49M,International,International,Minor Barrier,Minor Barrier,Not a Barrier,Not a Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Not a Barrier,Minor Barrier,Not a Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,,,,,,,Difficulty integrating new technologies with existing legacy systems.,,,,,,,,,,"Pressure to adopt technology due to external factors (e.g., mandates, public expectations, peer agency actions), without adequate internal readiness.",Difficulty finding reliable technology vendors or partners.,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,I feel everything was relatively covered.,complete,,,69c17630acada6abeead2da5,69c18071e71b80fe5220e025,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,856,True,2026-03-23,e3c9d2d5e23d90c939df5b4d020a3633,anonymous,,"CIO (e.g., Director of IT)",,I am the primary decision-maker for technology adoption in my area of responsibility,Information,,500-999,For-Profit,$50M-$99M,$50M-$99M,United States,Regional,Major Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Resistance to change among employees or middle management.,,,,,,Difficulty integrating new technologies with existing legacy systems.,,,Lack of a clear strategy or roadmap for technology adoption.,,,,,,,,,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,,complete,,,69c17630acada6abeead2da5,69c1828c1601136071f5ed36,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,,0,,0,,0.07142857142857142,QID225,
