B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,M1,M2,M3,M4,M5,M6,M7,M8,B_mean,R_mean,M_mean,SMB_ENT,Q4_OrgSize
2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,,3.0,3.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.2777777777777777,,2.75,2,1000-4999
2.0,1.0,2.0,5.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.388888888888889,3.411764705882353,4.125,1,100-499
2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1.1666666666666667,,4.5,2,5000-9999
3.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7777777777777777,3.588235294117647,3.0,2,1000-4999
5.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.3333333333333335,3.0588235294117645,3.0,1,100-499
2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,2.5,3.7058823529411766,4.25,2,1000-4999
4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.888888888888889,3.2941176470588234,3.375,1,500-999
3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.4444444444444446,3.235294117647059,3.5,1,500-999
2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0555555555555554,4.0,4.0,2,1000-4999
5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.5555555555555554,2.5294117647058822,2.25,1,500-999
3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.2222222222222223,2.6470588235294117,2.625,1,<100
